# meep=1.28.0 res=30.0 cols=t,Ez1,Ez2 dt=4.004 c_err=0.0011 echo=0.0000
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000888e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.500000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.050000000000000044e+00,3.537827633069849241e-39,0.000000000000000000e+00
1.100000000000000089e+00,4.614349113073566541e-35,0.000000000000000000e+00
1.150000000000000133e+00,1.097039610170576245e-31,0.000000000000000000e+00
1.200000000000000178e+00,9.008021728986046559e-29,0.000000000000000000e+00
1.250000000000000000e+00,3.401247798296844269e-26,0.000000000000000000e+00
1.300000000000000044e+00,6.950837682822921316e-24,0.000000000000000000e+00
1.350000000000000089e+00,8.537912372417374160e-22,0.000000000000000000e+00
1.400000000000000133e+00,6.777917471456721306e-20,0.000000000000000000e+00
1.450000000000000178e+00,3.665713754703571882e-18,0.000000000000000000e+00
1.500000000000000000e+00,1.405065772113587178e-16,0.000000000000000000e+00
1.550000000000000044e+00,3.933932867408160305e-15,0.000000000000000000e+00
1.600000000000000089e+00,8.234935565920716627e-14,0.000000000000000000e+00
1.650000000000000133e+00,1.312064320916351526e-12,0.000000000000000000e+00
