# meep=1.28.0 res=120.0 radius_um=0.05 cols=wavelength_um,sigma_abs_um peak_nm=468
7.027027027027027417e-01,nan
6.944318696242645084e-01,nan
6.863534675615213798e-01,nan
6.784608580274215095e-01,nan
6.707477044162658553e-01,nan
6.632079550367488974e-01,nan
6.558358272766140473e-01,nan
6.486257928118394078e-01,nan
6.415725637808448178e-01,nan
6.346710798510550866e-01,nan
6.279164961113385957e-01,nan
6.213041717294451871e-01,nan
6.148296593186374226e-01,nan
6.084886949623166119e-01,nan
6.022771888496271098e-01,nan
5.961912164788185642e-01,2.109806635687355714e-02
5.902270103886110286e-01,2.341110349601971743e-02
5.843809523809524453e-01,2.600144771134265537e-02
5.786495662014334851e-01,2.888760866876987146e-02
5.730295106462458543e-01,3.209645835284224979e-02
5.675175730669627105e-01,3.563482111380804340e-02
5.621106632466105202e-01,3.951688194848611974e-02
5.568058076225046449e-01,4.373772004992664691e-02
5.516001438331535889e-01,4.828937252431273613e-02
5.464909155682223796e-01,5.315111773286075592e-02
5.414754677020826579e-01,5.828614992195631228e-02
5.365512416928996942e-01,6.364879312755415686e-02
5.317157712305026207e-01,6.916922713252635080e-02
5.269666781174854320e-01,7.476930572218362658e-02
5.223016683690840933e-01,8.035031848212431660e-02
5.177185285183936170e-01,8.580751045878015626e-02
5.132151221144195530e-01,9.103198195453920949e-02
5.087893864013267597e-01,9.591596422028332569e-02
5.044393291680369096e-01,1.003690471997564920e-01
5.001630257580698125e-01,1.043122916289152130e-01
4.959586162301973244e-01,1.076987486928719512e-01
4.918243026611093249e-01,1.105020900306859649e-01
4.877583465818760011e-01,1.127273847805425472e-01
4.837590665405235302e-01,1.144050593468861621e-01
4.798248357835471212e-01,1.155820074365899730e-01
4.759540800496432356e-01,1.163295151116652548e-01
4.721452754693752363e-01,1.167158245476143663e-01
4.683969465648855635e-01,1.168261351526005964e-01
4.647076643441382382e-01,1.167319915411357406e-01
4.610760444845205530e-01,1.165062756234816199e-01
4.575007456009543838e-01,1.162154441022355683e-01
4.539804675939627110e-01,1.159035435682114479e-01
4.505139500734214320e-01,nan
4.470999708539784567e-01,nan
4.437373445183685483e-01,nan
4.404249210450761343e-01,nan
4.371615844970077602e-01,nan
4.339462517680339748e-01,nan
4.307778713844426233e-01,nan
4.276554223585169456e-01,nan
4.245779130916136901e-01,nan
4.215443803242648890e-01,nan
4.185538881309686099e-01,nan
4.156055269574641109e-01,nan
4.126984126984127310e-01,nan
