# cols=y_um,axial_intensity
0.000000000000000000e+00,7.689922924425827977e-02
5.000000000000000278e-02,8.311466190183501579e-02
1.000000000000000056e-01,8.967620256438857407e-02
1.500000000000000222e-01,9.671848508011410273e-02
2.000000000000000111e-01,1.043112510250081837e-01
2.500000000000000000e-01,1.111126073570499473e-01
3.000000000000000444e-01,1.182061650215257137e-01
3.500000000000000333e-01,1.252873572206188169e-01
4.000000000000000222e-01,1.319769017780452747e-01
4.500000000000000111e-01,1.364856258023976199e-01
5.000000000000000000e-01,1.400415716824199575e-01
5.500000000000000444e-01,1.423908393142020168e-01
6.000000000000000888e-01,1.432686984135894959e-01
6.500000000000000222e-01,1.410449776975102043e-01
7.000000000000000666e-01,1.372619547790741024e-01
7.500000000000000000e-01,1.320807196600858047e-01
8.000000000000000444e-01,1.257120710422583443e-01
8.500000000000000888e-01,1.171359790123288752e-01
9.000000000000000222e-01,1.076724045581790301e-01
9.500000000000000666e-01,9.740015372202841248e-02
1.000000000000000000e+00,8.653738701955154822e-02
1.050000000000000044e+00,7.460690276412319799e-02
1.100000000000000089e+00,6.292426278307179655e-02
1.150000000000000133e+00,5.173853687109689070e-02
1.200000000000000178e+00,4.121138658788484066e-02
1.250000000000000000e+00,3.101036603934410885e-02
1.300000000000000044e+00,2.209984054476938839e-02
1.350000000000000089e+00,1.489697177054646882e-02
1.400000000000000133e+00,9.765172191959117787e-03
1.450000000000000178e+00,6.618305088954043458e-03
1.500000000000000000e+00,5.709082235734735424e-03
1.550000000000000044e+00,7.007607005900786702e-03
1.600000000000000089e+00,1.054775705215613146e-02
1.650000000000000133e+00,1.604344829844109310e-02
1.700000000000000178e+00,2.363582892394282958e-02
1.750000000000000000e+00,3.303870602303667081e-02
1.800000000000000044e+00,4.389908406641591931e-02
1.850000000000000089e+00,5.539601371443654554e-02
1.900000000000000133e+00,6.804075950629913383e-02
1.950000000000000178e+00,8.180802972316110477e-02
2.000000000000000000e+00,9.648567152576507933e-02
2.050000000000000266e+00,1.106491950990501627e-01
2.100000000000000089e+00,1.245232771058463056e-01
2.149999999999999911e+00,1.376754476995794840e-01
2.200000000000000178e+00,1.498438097862844764e-01
2.250000000000000000e+00,1.594550587659185059e-01
2.300000000000000266e+00,1.676514560020694045e-01
2.350000000000000089e+00,1.741911288947771141e-01
2.400000000000000355e+00,1.788407480961572427e-01
2.450000000000000178e+00,1.799805880900453847e-01
2.500000000000000000e+00,1.792040240143957242e-01
2.550000000000000266e+00,1.765704117912559046e-01
2.600000000000000089e+00,1.721340974048073125e-01
2.650000000000000355e+00,1.645110801645463527e-01
2.700000000000000178e+00,1.552461073015417581e-01
2.750000000000000000e+00,1.444791687935595148e-01
2.800000000000000266e+00,1.324307712743862386e-01
2.850000000000000089e+00,1.182125350989191304e-01
2.900000000000000355e+00,1.032824626360612785e-01
2.950000000000000178e+00,8.805416049214565000e-02
3.000000000000000000e+00,7.297759671285454497e-02
3.050000000000000266e+00,5.785542472462285035e-02
3.100000000000000089e+00,4.364359410876534479e-02
3.150000000000000355e+00,3.067085753122718306e-02
3.200000000000000178e+00,1.937991551824731762e-02
3.250000000000000000e+00,1.018927475128979070e-02
3.300000000000000266e+00,3.800412114773977623e-03
3.350000000000000089e+00,5.790013736877225791e-04
3.400000000000000355e+00,8.788493033682088238e-04
3.450000000000000178e+00,5.150918191651397866e-03
3.500000000000000000e+00,1.365188259129176962e-02
3.550000000000000266e+00,2.663172747372560822e-02
3.600000000000000089e+00,4.432083194437366064e-02
3.650000000000000355e+00,6.671192654701739444e-02
3.700000000000000178e+00,9.417540317970876651e-02
3.750000000000000000e+00,1.269969147133158116e-01
3.800000000000000266e+00,1.654809367426835487e-01
3.850000000000000089e+00,2.086601589217873809e-01
3.900000000000000355e+00,2.575482252440299824e-01
3.950000000000000178e+00,3.123216631099690055e-01
4.000000000000000000e+00,3.731542121691148739e-01
4.049999999999999822e+00,4.372118825452294688e-01
4.100000000000000533e+00,5.065987988413911403e-01
4.150000000000000355e+00,5.809518150630300637e-01
4.200000000000000178e+00,6.599299025185074719e-01
4.250000000000000000e+00,7.379215221390774682e-01
4.299999999999999822e+00,8.199353898778570793e-01
4.350000000000000533e+00,9.064786144886070041e-01
4.400000000000000355e+00,9.977505275801399343e-01
4.450000000000000178e+00,1.085271266543621493e+00
4.500000000000000000e+00,1.176020204513036793e+00
4.549999999999999822e+00,1.270057298369498211e+00
4.600000000000000533e+00,1.367731312330776827e+00
4.650000000000000355e+00,1.457988723175941415e+00
4.700000000000000178e+00,1.550775527844499235e+00
4.750000000000000000e+00,1.645420470980480943e+00
4.800000000000000711e+00,1.741588164041949272e+00
4.850000000000000533e+00,1.825313068969841135e+00
4.900000000000000355e+00,1.911069387800891972e+00
4.950000000000000178e+00,1.998849405406548430e+00
5.000000000000000000e+00,2.088032974613236892e+00
5.050000000000000711e+00,2.160205767919024744e+00
5.100000000000000533e+00,2.232440665987468709e+00
5.150000000000000355e+00,2.305400560403954469e+00
5.200000000000000178e+00,2.379682689333388890e+00
5.250000000000000000e+00,2.435223530735048492e+00
5.300000000000000711e+00,2.491461563859171502e+00
5.350000000000000533e+00,2.548206447625399385e+00
5.400000000000000355e+00,2.605511450785397365e+00
5.450000000000000178e+00,2.641360418988565328e+00
5.500000000000000000e+00,2.678326081383015644e+00
5.550000000000000711e+00,2.716555518169974093e+00
5.600000000000000533e+00,2.755659042344589249e+00
5.650000000000000355e+00,2.770520659761605220e+00
5.700000000000000178e+00,2.784729854095743029e+00
5.750000000000000000e+00,2.798894456378092421e+00
5.800000000000000711e+00,2.814369393334859470e+00
5.850000000000000533e+00,2.807848378914168386e+00
5.900000000000000355e+00,2.804146513240107552e+00
5.950000000000000178e+00,2.802544099647648057e+00
6.000000000000000000e+00,2.801858777964882474e+00
6.050000000000000711e+00,2.775932282062270939e+00
6.100000000000000533e+00,2.750509245220042587e+00
6.150000000000000355e+00,2.726640238952779516e+00
6.200000000000000178e+00,2.705391717643128580e+00
6.250000000000000000e+00,2.662932755834451548e+00
6.300000000000000711e+00,2.623666089234824916e+00
6.350000000000000533e+00,2.587089815626948397e+00
6.400000000000000355e+00,2.553163089167643118e+00
6.450000000000000178e+00,2.498718353612918275e+00
6.500000000000000000e+00,2.447737535091393912e+00
6.550000000000000711e+00,2.400147274780463746e+00
6.600000000000000533e+00,2.355489879312383295e+00
6.650000000000000355e+00,2.290878668552466912e+00
6.700000000000000178e+00,2.228667359858155006e+00
6.750000000000000000e+00,2.169378030417919767e+00
6.800000000000000711e+00,2.113945453157953125e+00
6.850000000000000533e+00,2.043486810789060026e+00
6.900000000000000355e+00,1.978773242702399182e+00
6.950000000000000178e+00,1.919390400519967121e+00
7.000000000000000000e+00,1.864567940101753196e+00
