# cols=kx_cyc_per_um,intensity
-2.142857142857143060e+01,4.796484447746235720e-09
-2.125000000000000000e+01,1.951661027110781388e-07
-2.107142857142857295e+01,1.352441497077672534e-06
-2.089285714285714235e+01,3.652278413236280369e-06
-2.071428571428571530e+01,1.956032248670850228e-07
-2.053571428571428470e+01,4.526379963179475464e-08
-2.035714285714285765e+01,1.105420520530281286e-07
-2.017857142857143060e+01,6.657496589144288899e-07
-2.000000000000000000e+01,1.652569391125375641e-07
-1.982142857142857295e+01,9.773103333864300340e-07
-1.964285714285714235e+01,8.295252890439289296e-07
-1.946428571428571530e+01,2.947227249426758897e-06
-1.928571428571428470e+01,2.562191764443425972e-06
-1.910714285714285765e+01,1.100180972134138124e-06
-1.892857142857143060e+01,7.411608821558501421e-08
-1.875000000000000000e+01,6.744661765358992987e-07
-1.857142857142857295e+01,1.209663747627473676e-06
-1.839285714285714235e+01,6.406025653600004832e-07
-1.821428571428571530e+01,2.290707907443582612e-06
-1.803571428571428470e+01,6.618799773482343732e-07
-1.785714285714285765e+01,6.390594132107369637e-06
-1.767857142857143060e+01,1.118528193944867092e-05
-1.750000000000000000e+01,2.908353059910529977e-06
-1.732142857142857295e+01,4.018492318027198675e-07
-1.714285714285714235e+01,9.023224035100346624e-06
-1.696428571428571530e+01,9.539379401233492484e-07
-1.678571428571428470e+01,4.621897065733225179e-06
-1.660714285714285765e+01,4.695949835037625888e-06
-1.642857142857143060e+01,7.702688075935778078e-07
-1.625000000000000000e+01,5.927663315496645093e-06
-1.607142857142857295e+01,5.121130986405038809e-07
-1.589285714285714235e+01,7.089106773125405269e-06
-1.571428571428571530e+01,5.835227595746707710e-06
-1.553571428571428648e+01,1.567230695119662322e-06
-1.535714285714285765e+01,1.151680265571579959e-06
-1.517857142857142883e+01,6.729595455186942119e-10
-1.500000000000000000e+01,1.315779759926948249e-07
-1.482142857142857117e+01,3.338269740847424836e-08
-1.464285714285714235e+01,1.384821524182216750e-07
-1.446428571428571530e+01,1.567111116063578379e-06
-1.428571428571428648e+01,7.688267794997929750e-06
-1.410714285714285765e+01,1.539499907600914671e-05
-1.392857142857142883e+01,1.565997016948987652e-06
-1.375000000000000000e+01,1.767992859738811663e-06
-1.357142857142857117e+01,1.009163002939102392e-05
-1.339285714285714235e+01,8.949494328928241256e-05
-1.321428571428571530e+01,5.330652038041827684e-06
-1.303571428571428648e+01,5.281524032814095326e-06
-1.285714285714285765e+01,2.379935041749291173e-05
-1.267857142857142883e+01,7.855625445114155147e-06
-1.250000000000000000e+01,1.108258369412437570e-05
-1.232142857142857117e+01,7.232822627020973850e-05
-1.214285714285714235e+01,7.408514556564964196e-05
-1.196428571428571530e+01,1.819433751052508793e-05
-1.178571428571428648e+01,6.730587951670854757e-06
-1.160714285714285765e+01,7.404535472577376126e-07
-1.142857142857142883e+01,8.351048555885895049e-06
-1.125000000000000000e+01,1.102512534787335730e-06
-1.107142857142857117e+01,7.077262536590449337e-06
-1.089285714285714235e+01,4.756881686419980949e-06
-1.071428571428571530e+01,2.778828355403233785e-05
-1.053571428571428648e+01,2.866834748795709007e-05
-1.035714285714285765e+01,1.821860102164609443e-05
