# meep=1.28.0 res=25.0 lam=1.55 f=6.0 y_focus=5.80 fwhm=0.625 dl=0.904 eff=0.420 cols=x_um,intensity
-1.000000000000000000e+01,3.809576930416890689e-02
-9.937500000000000000e+00,3.950714608974732062e-02
-9.875000000000000000e+00,4.099218577774827593e-02
-9.812500000000000000e+00,4.223761121187307593e-02
-9.750000000000000000e+00,4.344135442354109256e-02
-9.687500000000000000e+00,4.451860485333408030e-02
-9.625000000000000000e+00,4.535062852103313724e-02
-9.562500000000000000e+00,4.609479966107012106e-02
-9.500000000000000000e+00,4.631919262978298479e-02
-9.437500000000000000e+00,4.637138310939088737e-02
-9.375000000000000000e+00,4.589827550775647802e-02
-9.312500000000000000e+00,4.529455710123534568e-02
-9.250000000000000000e+00,4.429259408875008130e-02
-9.187500000000000000e+00,4.294088787755316605e-02
-9.125000000000000000e+00,4.133316362035040908e-02
-9.062500000000000000e+00,3.939733736369205319e-02
-9.000000000000000000e+00,3.748214480921071429e-02
-8.937500000000000000e+00,3.541353648642592278e-02
-8.875000000000000000e+00,3.343557264891358627e-02
-8.812500000000000000e+00,3.140894208991337061e-02
-8.750000000000000000e+00,2.945791915160076574e-02
-8.687500000000000000e+00,2.761842538286201840e-02
-8.625000000000000000e+00,2.594969422904540995e-02
-8.562500000000000000e+00,2.449758640657632644e-02
-8.500000000000000000e+00,2.331952017408042005e-02
-8.437500000000000000e+00,2.246984571417097454e-02
-8.375000000000000000e+00,2.203406462757610124e-02
-8.312500000000000000e+00,2.200193856868817160e-02
-8.250000000000000000e+00,2.241230688078884800e-02
-8.187500000000000000e+00,2.327031603276420724e-02
-8.125000000000000000e+00,2.457517945096646811e-02
-8.062500000000000000e+00,2.631470364802590556e-02
-8.000000000000000000e+00,2.835948476685345998e-02
-7.937500000000000000e+00,3.058180779054953460e-02
-7.875000000000000000e+00,3.281819282579568481e-02
-7.812500000000000000e+00,3.485070303460714725e-02
-7.750000000000000000e+00,3.652679108938869379e-02
-7.687500000000000000e+00,3.762027406707730420e-02
-7.625000000000000000e+00,3.778246377840454445e-02
-7.562500000000000000e+00,3.685831369547468150e-02
-7.500000000000000000e+00,3.459587517255825057e-02
-7.437500000000000000e+00,3.121133796140360475e-02
-7.375000000000000000e+00,2.661499996942674751e-02
-7.312500000000000000e+00,2.135454446871570822e-02
-7.250000000000000000e+00,1.579767570310342678e-02
-7.187500000000000000e+00,1.054862284569554540e-02
-7.125000000000000000e+00,6.332032443891543773e-03
-7.062500000000000000e+00,3.917061677164645865e-03
-7.000000000000000000e+00,3.977703620329654799e-03
-6.937500000000000000e+00,7.333651125183691596e-03
-6.875000000000000000e+00,1.450420386427539281e-02
-6.812500000000000000e+00,2.602916815498796527e-02
-6.750000000000000000e+00,4.191376464525615325e-02
-6.687500000000000000e+00,6.189708564763471421e-02
-6.625000000000000000e+00,8.525004279930559203e-02
-6.562500000000000000e+00,1.110582865780041090e-01
-6.500000000000000000e+00,1.377170271267801338e-01
-6.437500000000000000e+00,1.640730556753174640e-01
-6.375000000000000000e+00,1.877344351434013792e-01
-6.312500000000000000e+00,2.076797679479829573e-01
-6.250000000000000000e+00,2.219814375446592936e-01
-6.187500000000000000e+00,2.295073132570484842e-01
-6.125000000000000000e+00,2.297683505047543873e-01
-6.062500000000000000e+00,2.219882816615247056e-01
-6.000000000000000000e+00,2.075906272453445500e-01
-5.937500000000000000e+00,1.861737561010694819e-01
-5.875000000000000000e+00,1.605843858869748786e-01
-5.812500000000000000e+00,1.320069424032643546e-01
-5.750000000000000000e+00,1.030497329396715400e-01
-5.687500000000000000e+00,7.557342623709946416e-02
-5.625000000000000000e+00,5.134951805382827195e-02
-5.562500000000000000e+00,3.175328346225822496e-02
-5.500000000000000000e+00,1.763048246940839350e-02
-5.437500000000000000e+00,9.085009846126368416e-03
-5.375000000000000000e+00,5.906505968748252018e-03
-5.312500000000000000e+00,7.128920330220741772e-03
-5.250000000000000000e+00,1.145060381242542745e-02
-5.187500000000000000e+00,1.724591183806729877e-02
-5.125000000000000000e+00,2.296399290174735291e-02
-5.062500000000000000e+00,2.703224394786384738e-02
-5.000000000000000000e+00,2.884840480164335003e-02
-4.937500000000000000e+00,2.753713432596404873e-02
-4.875000000000000000e+00,2.381011935288894488e-02
-4.812500000000000000e+00,1.810167293128155108e-02
-4.750000000000000000e+00,1.184953479905861279e-02
-4.687500000000000000e+00,6.364388163735349400e-03
-4.625000000000000000e+00,2.886835236200457986e-03
-4.562500000000000000e+00,2.306404520155269297e-03
-4.500000000000000000e+00,4.977633435073353617e-03
-4.437500000000000000e+00,1.077977625606075032e-02
-4.375000000000000000e+00,1.891913408840768113e-02
-4.312500000000000000e+00,2.833948829674290404e-02
-4.250000000000000000e+00,3.755422107606799786e-02
-4.187500000000000000e+00,4.513782299425687927e-02
-4.125000000000000000e+00,4.992429655645786585e-02
-4.062500000000000000e+00,5.078584870600441614e-02
-4.000000000000000000e+00,4.805735058834085388e-02
-3.937500000000000000e+00,4.158840441451208680e-02
-3.875000000000000000e+00,3.311070770071853492e-02
-3.812500000000000000e+00,2.390376460696407371e-02
-3.750000000000000000e+00,1.616341881048771398e-02
-3.687500000000000000e+00,1.183928170479121682e-02
-3.625000000000000000e+00,1.246561286452946456e-02
-3.562500000000000000e+00,1.853480558850773355e-02
-3.500000000000000000e+00,2.957744149177397516e-02
-3.437500000000000000e+00,4.443543915826904389e-02
-3.375000000000000000e+00,6.093507518986698152e-02
-3.312500000000000000e+00,7.681866826225124123e-02
-3.250000000000000000e+00,8.909794818564814589e-02
-3.187500000000000000e+00,9.521480931824213845e-02
-3.125000000000000000e+00,9.376158593774114314e-02
-3.062500000000000000e+00,8.401377277703668545e-02
