# meep=1.28.0 res=30.0 lam=1.55 cols=d_um,T_rel_substrate,phase_rad circular_cover=6.20rad
8.000000000000000167e-02,9.015119455548371574e-01,-1.506281124805119331e+00
8.200000000000000344e-02,8.584806125559802936e-01,-1.371557652416519391e+00
8.400000000000000522e-02,8.051290256182912497e-01,-1.233910517237324367e+00
8.600000000000000699e-02,7.662218784770178370e-01,-1.114347491212725583e+00
8.800000000000000877e-02,7.268260506234387464e-01,-9.884308536574959447e-01
8.999999999999999667e-02,6.908632833494169345e-01,-8.690941734222528137e-01
9.199999999999999845e-02,6.637070360941562663e-01,-7.411089417523961664e-01
9.400000000000000022e-02,6.262034822405062595e-01,-6.329249071386643388e-01
9.600000000000000200e-02,6.078677918889534570e-01,-5.381143699116976986e-01
9.800000000000000377e-02,6.049861723303884276e-01,-4.320948780363649822e-01
1.000000000000000056e-01,6.088383758491645592e-01,-3.260166913881034079e-01
1.040000000000000091e-01,6.169887016523959433e-01,-1.911312397467226087e-01
1.080000000000000127e-01,6.363492119600019370e-01,-6.075771551026169087e-02
1.120000000000000162e-01,6.764035948204861759e-01,8.044110495102504976e-02
1.160000000000000198e-01,7.298884184275671316e-01,2.333626877869056371e-01
1.200000000000000094e-01,7.902321291582162788e-01,3.966948663638037442e-01
1.240000000000000130e-01,8.628468420849211284e-01,5.741965417842740393e-01
1.250000000000000000e-01,8.927082753082336009e-01,6.251350191548915580e-01
1.270000000000000018e-01,9.307032630427869435e-01,7.243226326812816085e-01
1.280000000000000027e-01,9.618652279168433683e-01,7.776123475014826703e-01
1.290000000000000036e-01,9.812804617250497907e-01,8.309761336129840581e-01
1.310000000000000053e-01,1.000316902706656741e+00,9.422003402219010226e-01
1.320000000000000062e-01,1.007258116391717362e+00,1.002092588283865604e+00
1.330000000000000071e-01,1.018662713737075620e+00,1.056070296243463602e+00
1.350000000000000089e-01,9.736309316224976973e-01,1.314359705185816907e+00
1.360000000000000098e-01,9.621940288290148358e-01,1.369671023657129671e+00
1.365000000000000102e-01,9.582792411788186859e-01,1.396969071418527886e+00
1.370000000000000107e-01,9.460541908039287184e-01,1.426123781915614952e+00
1.375000000000000111e-01,9.379632948845801899e-01,1.452145574414339668e+00
1.380000000000000115e-01,9.421305953362063557e-01,1.475620905022878571e+00
1.385000000000000120e-01,9.237794914053518713e-01,1.508353348576173758e+00
1.389999999999999847e-01,9.119870065558878247e-01,1.535102686774089564e+00
1.390000000000000124e-01,9.119870065558852712e-01,1.535102686774089564e+00
1.395000000000000129e-01,9.130928081499728455e-01,1.557889735659189645e+00
1.400000000000000133e-01,8.915533955090308993e-01,1.590077401360448617e+00
1.405000000000000138e-01,8.813717625261230371e-01,1.615159184414076909e+00
1.409999999999999865e-01,8.728174317147318062e-01,1.639992620352305863e+00
1.410000000000000142e-01,8.728174317147304739e-01,1.639992620352304975e+00
1.415000000000000147e-01,8.633107785145941460e-01,1.664576996304715895e+00
1.420000000000000151e-01,8.545611591402837437e-01,1.689728906818988685e+00
1.424999999999999878e-01,8.369158770229723210e-01,1.719256300018552119e+00
1.429999999999999882e-01,8.254382671193098986e-01,1.742571251552879952e+00
1.434999999999999887e-01,8.144241549500452759e-01,1.766225743876710608e+00
1.439999999999999891e-01,8.016239533697441244e-01,1.791121135642536721e+00
1.440000000000000169e-01,8.016239533697417929e-01,1.791121135642538720e+00
1.444999999999999896e-01,7.884112771153671817e-01,1.816644818841533837e+00
1.449999999999999900e-01,7.741472924651309206e-01,1.842428327790509579e+00
1.454999999999999905e-01,7.602233582352001529e-01,1.866068804538892678e+00
1.459999999999999909e-01,7.485164854711038318e-01,1.888131810527718057e+00
1.464999999999999913e-01,7.376498923734671198e-01,1.908949097369632142e+00
1.469999999999999918e-01,7.241370281022647681e-01,1.933656348788660662e+00
1.474999999999999922e-01,7.088191817488070923e-01,1.960535814175403013e+00
1.479999999999999927e-01,6.953961001358922589e-01,1.981497088465015599e+00
1.480000000000000204e-01,6.953961001358887062e-01,1.981497088465017820e+00
1.489999999999999936e-01,6.730319767387468177e-01,2.021625846447496322e+00
1.509999999999999953e-01,6.322356154322832378e-01,2.099443545799823063e+00
1.520000000000000240e-01,6.145483508682385576e-01,2.136994910400455971e+00
1.529999999999999971e-01,5.918608651287114997e-01,2.177743044980317677e+00
1.549999999999999989e-01,5.609102926339302186e-01,2.248141472256151019e+00
1.560000000000000275e-01,5.441930712335878439e-01,2.283298034944204247e+00
1.570000000000000007e-01,5.305014611893934529e-01,2.318629072382944578e+00
1.590000000000000024e-01,5.042285937395530881e-01,2.378902123450557404e+00
1.600000000000000311e-01,4.918944862698998444e-01,2.423668011752286411e+00
1.609999999999999765e-01,4.785685466416657596e-01,2.442516431603586113e+00
1.629999999999999782e-01,4.642918752739347288e-01,2.497185121499977178e+00
1.640000000000000346e-01,4.578968808695678683e-01,2.537051847653552628e+00
1.649999999999999800e-01,4.496595656781686712e-01,2.557059445009342458e+00
1.669999999999999818e-01,4.437069284058548502e-01,2.625482254391343861e+00
1.680000000000000382e-01,4.391604369759330995e-01,2.641365353215189504e+00
1.689999999999999836e-01,4.369766043496881580e-01,2.652215784207988314e+00
1.709999999999999853e-01,4.381894642005703111e-01,2.691739668998109902e+00
1.720000000000000417e-01,4.343456712794729335e-01,2.710122828914879989e+00
1.729999999999999871e-01,4.300122033753343564e-01,2.716993252342314591e+00
1.749999999999999889e-01,4.313271687633582485e-01,2.746338853105366518e+00
1.760000000000000453e-01,4.297594749904594114e-01,2.764538376416970422e+00
1.800000000000000211e-01,4.324077470977125692e-01,2.826896039959700513e+00
1.840000000000000246e-01,4.335129869282475790e-01,2.881173213083912721e+00
1.880000000000000282e-01,4.439722687605702767e-01,2.949285883612725367e+00
1.900000000000000022e-01,4.445643940979557840e-01,2.971251371976972866e+00
